Station_ID,lon,lat,circular_stats_theta_rad,circular_stats_regularity,mean_peak_doy
V548,2711315.96941,1092202.66063,4.595149,0.24526,267.12554
V549,2760859.45510,1133694.48056,4.368457,0.423202,254.036894
V550,2612008.02152,1139549.96293,2.999052,0.846931,174.34003
V551,2703091.45919,1160318.93620,3.829742,0.592972,222.645457
V552,2679662.71712,1214158.54516,3.240677,0.256166,188.290056
V553,2665083.80014,1227894.21546,1.094999,0.127169,63.90154
V554,2719623.03928,1188947.26796,3.448198,0.718238,200.439278
V555,2693291.96045,1156540.96815,4.077461,0.343886,237.127103
V556,2664500.17338,1265538.12837,0.533704,0.651679,31.070003
V557,2602730.09285,1099092.35231,3.208957,0.729282,186.533846
V558,2651614.71653,1117781.48428,4.062275,0.187255,236.199044
V559,2581195.52086,1222456.28593,0.308171,0.63835,18.028638
V560,2651347.19016,1163122.55330,3.664131,0.925687,212.99365
V561,2739287.16208,1150312.48744,3.923769,0.652534,228.109536
V562,2791888.08650,1142804.61898,3.616343,0.871328,210.220482
V563,2733352.50959,1181975.17090,0.536161,0.294098,31.123195
V564,2722173.73205,1124035.63184,4.509887,0.389927,262.114436
V565,2665142.15788,1173664.38361,2.818348,0.389737,163.869885
V566,2780859.16076,1139621.04700,3.134173,0.696718,182.206161
V567,2718454.09692,1104949.58391,4.085074,0.248066,237.570605
V568,2602359.54093,1170760.17489,2.495615,0.375907,145.016859
V569,2571502.32784,1146904.29615,1.099422,0.248755,63.97136
V570,2781363.43899,1196477.22344,2.8364,0.538443,164.883766
V571,2728995.00984,1279072.30614,1.912312,0.097327,110.828124
V572,2575228.21307,1176912.01088,0.231384,0.39418,13.654447
V573,2507851.58364,1141670.29506,0.232695,0.716065,13.619059
V574,2688044.80418,1190554.54444,3.772762,0.268429,219.391621
V575,2565617.47327,1188795.77199,0.163676,0.428229,9.622095
V576,2737924.05492,1222582.21060,3.82468,0.29497,222.414354
V577,2640818.03876,1135388.73375,2.56677,0.596026,149.223529
V578,2733494.48180,1243074.43128,2.887196,0.149205,167.74982
V579,2744878.96211,1213587.76890,3.850413,0.34696,223.875566
V580,2616698.48391,1102656.39637,3.779735,0.90768,219.719756
V581,2751586.36062,1224266.35373,3.901894,0.358978,226.806126
V582,2720074.39382,1117503.30413,4.39111,0.289339,255.302086
V583,2662319.27889,1173622.01015,1.616138,0.350387,93.985669
V584,2623153.88145,1268939.58154,0.625019,0.256585,36.40802
V585,2711981.14420,1193679.01059,3.424008,0.591167,199.054426
V586,2768425.60175,1170102.07918,3.276087,0.612199,190.444506
V587,2571807.02004,1199493.68798,0.302324,0.514393,17.724844
V588,2788121.55525,1180005.14191,2.931176,0.792937,170.386854
V589,2574908.24766,1095103.54943,2.2106,0.476327,128.563926
V590,2776447.95503,1207869.77144,2.911679,0.557068,169.269655
V591,2598441.01025,1179383.61664,1.065674,0.236309,61.914138
V592,2665351.44800,1271241.30387,0.465426,0.67424,27.101512
V593,2754556.25363,1259951.53989,3.669335,0.303263,213.107996
V594,2588837.21646,1193720.12219,0.213607,0.35948,12.591448
V595,2597239.22878,1253197.12822,0.698898,0.421778,40.707533
V596,2740686.23054,1204213.42040,3.244107,0.622259,188.583543
V597,2773870.57558,1149123.11766,3.043837,0.711708,176.933594
V598,2577792.59530,1089286.83000,2.868099,0.712446,166.723315
V599,2770205.24953,1144984.00178,3.155561,0.620621,183.448059
V600,2704071.98088,1141205.76613,4.191011,0.550713,243.653518
V601,2571235.76457,1139878.70007,2.001424,0.424691,116.341564
V602,2789462.17902,1184755.52990,2.815285,0.828341,163.643093
V603,2773029.07144,1170329.81762,3.961129,0.308285,230.3968
